alphabet,n,tiling_count,elapsed_sec
G3_Jeandel_Rao_11,2,85,0.0002243518829345703
G3_Jeandel_Rao_11,3,444,0.0008981227874755859
G3_Jeandel_Rao_11,4,1723,0.004345417022705078
G3_Jeandel_Rao_11,5,9172,0.1333773136138916
G3_Jeandel_Rao_11,6,50638,0.1424882411956787
G4_Labbe_19,2,139,0.00029087066650390625
G4_Labbe_19,3,428,0.0010390281677246094
G4_Labbe_19,4,1955,0.0038573741912841797
G4_Labbe_19,5,3626,0.010351181030273438
G4_Labbe_19,6,10952,0.032360076904296875
G5_Kari_Culik_13,2,125,0.00027108192443847656
G5_Kari_Culik_13,3,1240,0.0019087791442871094
G5_Kari_Culik_13,4,14810,0.022321701049804688
G5_Kari_Culik_13,5,160168,0.22899985313415527
