alphabet,tile_count,n,tiling_count,S_log_count_plus_1,entropy_density
G3_Jeandel_Rao_11,11,2,85,4.454347296253507,1.1135868240633768
G3_Jeandel_Rao_11,11,3,444,6.09807428216624,0.6775638091295823
G3_Jeandel_Rao_11,11,4,1723,7.452402451223638,0.4657751532014774
G3_Jeandel_Rao_11,11,5,9172,9.124019665509655,0.3649607866203862
G3_Jeandel_Rao_11,11,6,50638,10.832477309387691,0.30090214748299143
G4_Labbe_19,19,2,139,4.941642422609304,1.235410605652326
G4_Labbe_19,19,3,428,6.061456918928017,0.6734952132142241
G4_Labbe_19,19,4,1955,7.578656850594762,0.47366605316217264
G4_Labbe_19,19,5,3626,8.196161139282902,0.3278464455713161
G4_Labbe_19,19,6,10952,9.301368670323747,0.2583713519534374
G5_Kari_Culik_13,13,2,125,4.836281906951478,1.2090704767378695
G5_Kari_Culik_13,13,3,1240,7.123672785204607,0.7915191983560674
G5_Kari_Culik_13,13,4,14810,9.603125426926972,0.6001953391829358
G5_Kari_Culik_13,13,5,160168,11.983984786776428,0.47935939147105716
