group,alphabet,seed_to_target,seed_n,target_n,policy,seed_total,target_total,restored_seeds,blocked_seeds,restoration_rate
main_target_le_5,G3_Jeandel_Rao_11,2->3,2,3,NW,85,444,71,14,0.8352941176470589
main_target_le_5,G3_Jeandel_Rao_11,2->3,2,3,NE,85,444,78,7,0.9176470588235294
main_target_le_5,G3_Jeandel_Rao_11,2->3,2,3,SW,85,444,70,15,0.8235294117647058
main_target_le_5,G3_Jeandel_Rao_11,2->3,2,3,SE,85,444,77,8,0.9058823529411765
main_target_le_5,G3_Jeandel_Rao_11,2->3,2,3,CENTER,85,444,71,14,0.8352941176470589
main_target_le_5,G3_Jeandel_Rao_11,2->3,2,3,ALL_CORNERS,85,444,84,1,0.9882352941176471
main_target_le_5,G3_Jeandel_Rao_11,2->3,2,3,ANY_EDGE,85,444,84,1,0.9882352941176471
main_target_le_5,G3_Jeandel_Rao_11,2->3,2,3,ANY_OFFSET,85,444,84,1,0.9882352941176471
main_target_le_5,G3_Jeandel_Rao_11,2->4,2,4,NW,85,1723,71,14,0.8352941176470589
main_target_le_5,G3_Jeandel_Rao_11,2->4,2,4,NE,85,1723,76,9,0.8941176470588236
main_target_le_5,G3_Jeandel_Rao_11,2->4,2,4,SW,85,1723,68,17,0.8
main_target_le_5,G3_Jeandel_Rao_11,2->4,2,4,SE,85,1723,77,8,0.9058823529411765
main_target_le_5,G3_Jeandel_Rao_11,2->4,2,4,CENTER,85,1723,62,23,0.7294117647058823
main_target_le_5,G3_Jeandel_Rao_11,2->4,2,4,ALL_CORNERS,85,1723,84,1,0.9882352941176471
main_target_le_5,G3_Jeandel_Rao_11,2->4,2,4,ANY_EDGE,85,1723,84,1,0.9882352941176471
main_target_le_5,G3_Jeandel_Rao_11,2->4,2,4,ANY_OFFSET,85,1723,84,1,0.9882352941176471
main_target_le_5,G3_Jeandel_Rao_11,2->5,2,5,NW,85,9172,71,14,0.8352941176470589
main_target_le_5,G3_Jeandel_Rao_11,2->5,2,5,NE,85,9172,76,9,0.8941176470588236
main_target_le_5,G3_Jeandel_Rao_11,2->5,2,5,SW,85,9172,68,17,0.8
main_target_le_5,G3_Jeandel_Rao_11,2->5,2,5,SE,85,9172,77,8,0.9058823529411765
main_target_le_5,G3_Jeandel_Rao_11,2->5,2,5,CENTER,85,9172,61,24,0.7176470588235294
main_target_le_5,G3_Jeandel_Rao_11,2->5,2,5,ALL_CORNERS,85,9172,84,1,0.9882352941176471
main_target_le_5,G3_Jeandel_Rao_11,2->5,2,5,ANY_EDGE,85,9172,84,1,0.9882352941176471
