seed_total,target_total,min_corner_rate,max_corner_rate,mean_corner_rate,corner_spread,any_edge_rate,any_offset_rate,restoration_gain,edge_offset_gap,group,alphabet,seed_to_target,seed_n,target_n,rigidity_spread,boundary_load,restoration_boundary_score
85,444,0.8235294117647058,0.9176470588235294,0.8705882352941177,0.09411764705882353,0.9882352941176471,0.9882352941176471,0.11764705882352944,0.0,main_target_le_5,G3_Jeandel_Rao_11,2->3,2,3,0.09411764705882353,0.0117647058823529,0.16764705882352943
85,1723,0.8,0.9058823529411765,0.8588235294117648,0.10588235294117643,0.9882352941176471,0.9882352941176471,0.12941176470588234,0.0,main_target_le_5,G3_Jeandel_Rao_11,2->4,2,4,0.10588235294117643,0.0117647058823529,0.18529411764705878
85,9172,0.8,0.9058823529411765,0.8588235294117648,0.10588235294117643,0.9882352941176471,0.9882352941176471,0.12941176470588234,0.0,main_target_le_5,G3_Jeandel_Rao_11,2->5,2,5,0.10588235294117643,0.0117647058823529,0.18529411764705878
444,1723,0.5833333333333334,0.6959459459459459,0.6351351351351351,0.11261261261261257,0.9301801801801802,0.9301801801801802,0.29504504504504514,0.0,main_target_le_5,G3_Jeandel_Rao_11,3->4,3,4,0.11261261261261257,0.06981981981981977,0.3688063063063064
444,9172,0.5382882882882883,0.6283783783783784,0.5900900900900901,0.09009009009009006,0.8896396396396397,0.8896396396396397,0.2995495495495496,0.0,main_target_le_5,G3_Jeandel_Rao_11,3->5,3,5,0.09009009009009006,0.11036036036036034,0.3721846846846847
1723,9172,0.4799767846778874,0.587928032501451,0.5319210679048172,0.10795124782356358,0.8647707486941382,0.8647707486941382,0.332849680789321,0.0,main_target_le_5,G3_Jeandel_Rao_11,4->5,4,5,0.10795124782356358,0.13522925130586183,0.4206326175275682
139,428,0.5035971223021583,0.7122302158273381,0.6061151079136691,0.2086330935251799,0.8992805755395683,0.8992805755395683,0.29316546762589923,0.0,main_target_le_5,G4_Labbe_19,2->3,2,3,0.2086330935251799,0.1007194244604317,0.4226618705035971
139,1955,0.4748201438848921,0.6834532374100719,0.5845323741007195,0.20863309352517984,0.8848920863309353,0.8848920863309353,0.30035971223021585,0.0,main_target_le_5,G4_Labbe_19,2->4,2,4,0.20863309352517984,0.1151079136690647,0.43345323741007197
139,3626,0.45323741007194246,0.6690647482014388,0.5683453237410072,0.21582733812949634,0.8561151079136691,0.8561151079136691,0.28776978417266186,0.0,main_target_le_5,G4_Labbe_19,2->5,2,5,0.21582733812949634,0.14388489208633093,0.4316546762589928
428,1955,0.3411214953271028,0.7009345794392523,0.522196261682243,0.3598130841121495,0.9018691588785047,0.9018691588785047,0.37967289719626174,0.0,main_target_le_5,G4_Labbe_19,3->4,3,4,0.3598130841121495,0.09813084112149528,0.5841121495327104
